127.0.0.1 - - [09/Jul/2025:13:04:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:30 +0900] "GET /BookRec_Final/reviewForm.jsp HTTP/1.1" 200 22819
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:30 +0900] "GET /BookRec_Final/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:30 +0900] "GET /BookRec_Final/css/celebList.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:46 +0900] "GET /BookRec_Final/Login.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:48 +0900] "GET /BookRec_Final/Login.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:49 +0900] "GET /BookRec_Final/Login.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:49 +0900] "GET /BookRec_Final/Login.jsp HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/main.jsp HTTP/1.1" 200 39333
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/up1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/love.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/9791158791971.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/9791160408331.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/9791193190364.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2025:13:04:52 +0900] "GET /BookRec_Final/img/9791158792183.jpg HTTP/1.1" 304 -
