127.0.0.1 - - [02/Jul/2025:12:53:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/main.jsp HTTP/1.1" 200 21878
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/recommend1.png HTTP/1.1" 200 1181188
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/logo.png HTTP/1.1" 200 272141
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/love.jpg HTTP/1.1" 200 58996
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/9791158791971.jpg HTTP/1.1" 200 73232
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/9791193190364.jpg HTTP/1.1" 200 75008
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/9791160408331.jpg HTTP/1.1" 200 59240
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:53:59 +0900] "GET /2025_teamproject/img/9791158792183.jpg HTTP/1.1" 200 51876
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:00 +0900] "GET /2025_teamproject/img/icon2.png HTTP/1.1" 200 4834
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:03 +0900] "GET /2025_teamproject/img/honmono_reco.jpg HTTP/1.1" 200 1571188
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:06 +0900] "GET /2025_teamproject/img/recommend3.png HTTP/1.1" 200 869887
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:09 +0900] "GET /2025_teamproject/img/recommend4.png HTTP/1.1" 200 1167121
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:12 +0900] "GET /2025_teamproject/img/event.png HTTP/1.1" 200 1154998
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:25 +0900] "GET /2025_teamproject/main.jsp HTTP/1.1" 200 21839
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:25 +0900] "GET /2025_teamproject/img/recommend1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2025:12:54:25 +0900] "GET /2025_teamproject/img/logo.png HTTP/1.1" 304 -
