0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:55:28 +0900] "GET /BookRec_Final/img/celeb/hongkyung_book06.jpg HTTP/1.1" 200 17894
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:55:28 +0900] "GET /BookRec_Final/img/icon2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/celebDetail8.jsp HTTP/1.1" 200 16859
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/img/celeb/hongkyung01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/img/celeb/hongkyung02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/img/celeb/hongkyung03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/img/celeb/hongkyung04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/img/celeb/hongkyung05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:08 +0900] "GET /BookRec_Final/img/celeb/hongkyung06.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:09 +0900] "GET /BookRec_Final/celebDetail8.jsp HTTP/1.1" 200 16859
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:13 +0900] "GET /BookRec_Final/celebDetail8.jsp HTTP/1.1" 200 16859
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:20 +0900] "GET /BookRec_Final/celebDetail8.jsp HTTP/1.1" 200 16771
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:34 +0900] "GET /BookRec_Final/reviewList.jsp HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [10/Jul/2025:10:58:34 +0900] "GET /BookRec_Final/css/reviewList.css HTTP/1.1" 304 -
